App,Category,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,review_group
Bk Usha behn,LIFESTYLE,10,3.0M,"1,000+",Free,0,Everyone,Lifestyle,"January 14, 2018",1.0,4.1 and up,"[0, 23)"
Funny Ringtones,PERSONALIZATION,7146,14M,"1,000,000+",Free,0,Everyone 10+,Personalization,"February 2, 2018",1.1,4.0 and up,"[889, 26432)"
Strava.cz,SHOPPING,2221,Varies with device,"100,000+",Free,0,Everyone,Shopping,"July 10, 2018",Varies with device,Varies with device,"[889, 26432)"
BL Flowers Digital,SHOPPING,21,2.5M,100+,Free,0,Everyone,Shopping,"October 31, 2017",1.6,4.2 and up,"[0, 23)"
eCooltra: scooter sharing. Share electric scooters,TRAVEL_AND_LOCAL,2822,27M,"100,000+",Free,0,Everyone,Travel & Local,"July 27, 2018",1.21.2,4.1 and up,"[889, 26432)"
360-M Flight,TOOLS,84,24M,"10,000+",Free,0,Everyone,Tools,"December 14, 2017",2.18,4.0.3 and up,"[23, 889)"
CK Call NEW,COMMUNICATION,0,4.2M,10+,Free,0,Everyone,Communication,"April 26, 2017",3.8.8,2.2 and up,"[0, 23)"
Ez Mirror Match,GAME,3344,36M,"500,000+",Free,0,Everyone,Arcade,"January 3, 2018",2.1,4.0 and up,"[889, 26432)"
CL 2NE1 Wallpaper KPOP Fans HD,PERSONALIZATION,7,3.4M,100+,Free,0,Everyone,Personalization,"May 19, 2018",1.1.1,4.0 and up,"[0, 23)"
AE Order,TOOLS,19,317k,"1,000+",Free,0,Everyone,Tools,"November 12, 2013",2.0.131112,2.3 and up,"[0, 23)"
trivago: Hotels & Travel,TRAVEL_AND_LOCAL,219848,Varies with device,"50,000,000+",Free,0,Everyone,Travel & Local,"August 2, 2018",Varies with device,Varies with device,[26432+)
Theme for Tecno Camon CX / C8,LIFESTYLE,147,9.8M,"10,000+",Free,0,Everyone,Lifestyle,"May 2, 2017",1.0.1,4.0 and up,"[23, 889)"
BD Bank Interest,FINANCE,289,3.2M,"5,000+",Free,0,Everyone,Finance,"May 4, 2018",1.2,4.1 and up,"[23, 889)"
Oracle CX Cloud Mobile,BUSINESS,48,54M,"5,000+",Free,0,Everyone,Business,"July 7, 2018",11.13.18.05.07.03,4.4 and up,"[23, 889)"
Sat-Fi Voice,COMMUNICATION,37,14M,"1,000+",Free,0,Everyone,Communication,"November 21, 2014",2.2.1.5,2.2 and up,"[23, 889)"
sustainability@BU,LIFESTYLE,10,11M,"1,000+",Free,0,Everyone,Lifestyle,"January 18, 2018",4.2.7,4.1 and up,"[0, 23)"
Florida map,TRAVEL_AND_LOCAL,11,3.4M,"5,000+",Free,0,Everyone,Travel & Local,"May 15, 2016",0.0.7,4.0 and up,"[0, 23)"
25 Mins Ako ay may lobo Etc Pinoy Kid Song Offline,FAMILY,0,42M,10+,Free,0,Mature 17+,Entertainment,"July 29, 2018",3.0,2.3 and up,"[0, 23)"
Calorie Counter - EasyFit free,HEALTH_AND_FITNESS,50294,11M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 9, 2018",3.0.7,4.1 and up,[26432+)
"Face Filter, Selfie Editor - Sweet Camera",PHOTOGRAPHY,142634,22M,"10,000,000+",Free,0,Everyone,Photography,"July 6, 2018",1.5.1,4.4 and up,[26432+)
happn – Local dating app,LIFESTYLE,1118201,Varies with device,"10,000,000+",Free,0,Mature 17+,Lifestyle,"July 24, 2018",Varies with device,Varies with device,[26432+)
HipChat - Chat Built for Teams,BUSINESS,5868,20M,"500,000+",Free,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,"[889, 26432)"
PUBG MOBILE,GAME,3715656,36M,"50,000,000+",Free,0,Teen,Action,"July 24, 2018",0.7.0,4.3 and up,[26432+)
ALPHA - Artificial Intelligence,FAMILY,51,3.2M,"1,000+",Free,0,Everyone,Entertainment,"June 3, 2018",1.3.4,4.0 and up,"[23, 889)"
CN Superstar Soccer: Goal!!!,FAMILY,3863,41M,"100,000+",Paid,$2.99,Everyone,Sports;Action & Adventure,"May 24, 2018",1.1.1,4.1 and up,"[889, 26432)"
Badische Zeitung,NEWS_AND_MAGAZINES,262,22M,"10,000+",Free,0,Everyone,News & Magazines,"June 26, 2018",5.3,4.1 and up,"[23, 889)"
