Category,Reviews,Type,Content Rating,Genres,SizeNew,InstallsNew,PriceNew,LastUpdatedNewYear,LastUpdatedNewMonth,LastUpdatedNewDay,AndroidVerNew,ReviewGroupNew
LIFESTYLE,10,0,Everyone,Lifestyle,0.03,1000,0.0,2018,1,14,4.1,0
PERSONALIZATION,7146,0,Everyone 10+,Personalization,0.14,1000000,0.0,2018,2,2,4.0,2
SHOPPING,2221,0,Everyone,Shopping,0.3928871096877502,100000,0.0,2018,7,10,3.8377519379844967,2
SHOPPING,21,0,Everyone,Shopping,0.025,100,0.0,2017,10,31,4.2,0
TRAVEL_AND_LOCAL,2822,0,Everyone,Travel & Local,0.27,100000,0.0,2018,7,27,4.1,2
TOOLS,84,0,Everyone,Tools,0.24,10000,0.0,2017,12,14,4.0,1
COMMUNICATION,0,0,Everyone,Communication,0.042,10,0.0,2017,4,26,2.2,0
GAME,3344,0,Everyone,Arcade,0.36,500000,0.0,2018,1,3,4.0,2
PERSONALIZATION,7,0,Everyone,Personalization,0.034,100,0.0,2018,5,19,4.0,0
TOOLS,19,0,Everyone,Tools,3.17,1000,0.0,2013,11,12,2.3,0
TRAVEL_AND_LOCAL,219848,0,Everyone,Travel & Local,0.3928871096877502,50000000,0.0,2018,8,2,3.8377519379844967,3
LIFESTYLE,147,0,Everyone,Lifestyle,0.098,10000,0.0,2017,5,2,4.0,1
FINANCE,289,0,Everyone,Finance,0.032,5000,0.0,2018,5,4,4.1,1
BUSINESS,48,0,Everyone,Business,0.54,5000,0.0,2018,7,7,4.4,1
COMMUNICATION,37,0,Everyone,Communication,0.14,1000,0.0,2014,11,21,2.2,1
LIFESTYLE,10,0,Everyone,Lifestyle,0.11,1000,0.0,2018,1,18,4.1,0
TRAVEL_AND_LOCAL,11,0,Everyone,Travel & Local,0.034,5000,0.0,2016,5,15,4.0,0
FAMILY,0,0,Mature 17+,Entertainment,0.42,10,0.0,2018,7,29,2.3,0
HEALTH_AND_FITNESS,50294,0,Everyone,Health & Fitness,0.11,1000000,0.0,2018,7,9,4.1,3
PHOTOGRAPHY,142634,0,Everyone,Photography,0.22,10000000,0.0,2018,7,6,4.4,3
LIFESTYLE,1118201,0,Mature 17+,Lifestyle,0.3928871096877502,10000000,0.0,2018,7,24,3.8377519379844967,3
BUSINESS,5868,0,Everyone,Business,0.2,500000,0.0,2018,7,3,4.1,2
GAME,3715656,0,Teen,Action,0.36,50000000,0.0,2018,7,24,4.3,3
FAMILY,51,0,Everyone,Entertainment,0.032,1000,0.0,2018,6,3,4.0,1
FAMILY,3863,1,Everyone,Sports;Action & Adventure,0.41,100000,2.99,2018,5,24,4.1,2
NEWS_AND_MAGAZINES,262,0,Everyone,News & Magazines,0.22,10000,0.0,2018,6,26,4.1,1
TOOLS,0,0,Everyone,Tools,8.98,1,0.0,2017,10,4,4.2,0
LIFESTYLE,33,0,Everyone,Lifestyle,0.23,5000,0.0,2017,10,12,4.2,1
TOOLS,885187,0,Everyone,Tools,0.22,50000000,0.0,2018,7,19,4.1,3
DATING,2212,0,Mature 17+,Dating,0.41,100000,0.0,2018,6,20,4.0,2
HOUSE_AND_HOME,10117,0,Everyone,House & Home,0.13,1000000,0.0,2018,6,29,4.0,2
GAME,144040,0,Teen,Action,0.29,5000000,0.0,2018,7,25,4.0,3
MEDICAL,265,0,Everyone,Medical,7.14,10000,0.0,2015,10,14,2.0,1
NEWS_AND_MAGAZINES,249919,0,Everyone 10+,News & Magazines,0.3928871096877502,10000000,0.0,2018,7,30,3.8377519379844967,3
PHOTOGRAPHY,28429,0,Teen,Photography,0.14,5000000,0.0,2018,3,16,2.3,3
GAME,59017,0,Teen,Action,0.82,1000000,0.0,2018,7,3,4.3,3
FAMILY,119,0,Everyone,Entertainment,0.039,50000,0.0,2017,12,22,4.0,1
