Category,Rating,Reviews,Content Rating,Genres,Current Ver,NewSize,InstallNews,PriceNew,LastUpdatedYear,LastUpdatedMonth,LastUpdatedDay,AndroidVerNew,review_group_new,TypeNew
TRAVEL_AND_LOCAL,1.0,149723,Everyone,Travel & Local,8.1.171,4099999.9999999995,10000000,0.0,2018,6,13,4.0,4,0
LIFESTYLE,0.0,853,Everyone,Lifestyle,3.2.0,34000000.0,100000,0.0,2018,3,22,4.1,2,0
FOOD_AND_DRINK,1.0,61881,Everyone,Food & Drink,Varies with device,12000000.0,5000000,0.0,2018,4,10,4.0,4,0
TOOLS,0.0,21943,Everyone,Tools,30,2300000.0,5000000,0.0,2016,10,19,2.3,3,0
FAMILY,1.0,6,Everyone,Education,1.0,9200000.0,1000,0.0,2018,1,24,4.1,1,0
TOOLS,0.0,138,Everyone,Tools,1.6,141000.0,5000,4.99,2015,3,5,1.6,2,1
ART_AND_DESIGN,1.0,13,Everyone,Art & Design,2.0,4500000.0,1000,0.0,2018,3,27,4.0,1,0
MEDICAL,1.0,5,Everyone,Medical,2.0,17000000.0,1000,0.0,2018,1,20,4.0,1,0
FAMILY,1.0,97,Everyone,Entertainment,3.0,2600000.0,10000,0.0,2018,1,20,4.0,2,0
FAMILY,0.0,79,Everyone,Education,1.03,33000000.0,5000,0.0,2015,5,27,3.0,2,0
NEWS_AND_MAGAZINES,1.0,247992,Teen,News & Magazines,6.5.1725,22000000.0,5000000,0.0,2018,7,25,4.1,4,0
FINANCE,1.0,2,Everyone,Finance,1.7,34000000.0,100,0.0,2018,3,10,4.0,1,0
GAME,0.0,47151,Everyone 10+,Action,2.4.0,36000000.0,5000000,0.0,2017,12,26,4.3,4,0
GAME,0.0,499,Everyone,Racing,1.0.13,47000000.0,10000,3.99,2018,5,10,5.0,2,1
FAMILY,1.0,734,Everyone,Entertainment,2.5,13000000.0,10000,0.0,2018,7,12,4.0,2,0
TOOLS,1.0,994,Everyone,Tools,6.0.0,2800000.0,100000,0.0,2018,5,18,5.0,3,0
FINANCE,1.0,260547,Everyone,Finance,Varies with device,12000000.0,5000000,0.0,2018,7,31,4.0,4,0
TOOLS,0.0,167,Everyone,Tools,1.0,2500000.0,10000,0.0,2017,11,8,4.0,2,0
GAME,1.0,531074,Everyone,Arcade,Varies with device,2500000.0,10000000,0.0,2018,1,9,4.0,4,0
FAMILY,1.0,198480,Everyone,Simulation,20.0,82000000.0,5000000,0.0,2018,8,3,4.1,4,0
LIFESTYLE,1.0,2225,Everyone,Lifestyle,4.2.1,15000000.0,100000,0.0,2018,7,26,4.0,3,0
TOOLS,1.0,1648515,Everyone,Tools,5.42.1,7100000.0,100000000,0.0,2018,8,2,2.3,4,0
PRODUCTIVITY,1.0,370,Everyone,Productivity,2.1.5,29000000.0,500000,0.0,2018,1,25,4.0,2,0
HOUSE_AND_HOME,1.0,13,Everyone,House & Home,3.2,43000000.0,100,0.0,2018,4,18,4.4,1,0
TOOLS,1.0,410303,Everyone,Tools,Varies with device,12000000.0,10000000,0.0,2016,9,5,4.0,4,0
ART_AND_DESIGN,1.0,61,Everyone,Art & Design;Action & Adventure,1.0.0,7000000.0,100000,0.0,2018,3,7,4.1,2,0
SPORTS,1.0,4330,Everyone,Sports,3.0,6100000.0,100000,0.0,2017,10,19,4.0,3,0
LIFESTYLE,0.0,242,Everyone,Lifestyle,1.2.1,36000000.0,50000,0.0,2018,5,14,3.0,2,0
PRODUCTIVITY,1.0,3,Everyone,Productivity,0.1.7,28000000.0,10,0.0,2016,12,6,4.1,1,0
FAMILY,1.0,5262,Everyone,Casual,1.1.2,26000000.0,100000,0.0,2016,3,23,2.3,3,0
GAME,1.0,3816799,Everyone,Action,2.2.8,32000000.0,100000000,0.0,2018,7,23,4.0,4,0
VIDEO_PLAYERS,1.0,193381,Teen,Video Players & Editors,1.78,17000000.0,50000000,0.0,2018,8,3,4.0,4,0
FAMILY,0.0,1419,Everyone,Casual,2.5_16,12000000.0,100000,0.0,2017,10,25,4.0,3,0
EDUCATION,0.0,828,Everyone,Education,Varies with device,12000000.0,100000,0.0,2017,10,1,4.0,2,0
PRODUCTIVITY,0.0,63,Everyone,Productivity,2.0.1027,1800000.0,5000,0.0,2016,9,27,3.0,2,0
ENTERTAINMENT,1.0,88185,Mature 17+,Entertainment,Varies with device,12000000.0,10000000,0.0,2018,6,20,4.0,4,0
HEALTH_AND_FITNESS,1.0,130104,Everyone,Health & Fitness,5.3,25000000.0,10000000,0.0,2018,8,3,5.0,4,0
GAME,1.0,115176,Teen,Racing,1.2.1,24000000.0,10000000,0.0,2018,6,15,4.0,4,0
NEWS_AND_MAGAZINES,1.0,66384,Teen,News & Magazines,4.1.0.72,19000000.0,1000000,0.0,2018,7,25,4.0,4,0
TRAVEL_AND_LOCAL,1.0,134,Everyone,Travel & Local,6.3.4,5300000.0,10000,0.0,2018,6,20,4.0,2,0
TOOLS,1.0,357,Everyone,Tools,6.2.6.7,58000000.0,1000000,0.0,2018,5,30,4.0,2,0
GAME,1.0,30630,Everyone,Racing,1.2.5,17000000.0,1000000,0.0,2015,5,25,4.1,4,0
BUSINESS,1.0,831,Everyone,Business,1.3.2.9,11000000.0,50000,0.0,2018,6,13,4.0,2,0
FAMILY,1.0,6,Everyone,Entertainment,1.1,5400000.0,1000,0.0,2018,3,18,4.1,1,0
PRODUCTIVITY,1.0,1498393,Everyone,Productivity,4.3.2.0,14000000.0,50000000,0.0,2018,8,2,4.2,4,0
TOOLS,1.0,29,Everyone,Tools,1.2,2300000.0,5000,0.0,2016,4,25,4.0,2,0
GAME,0.0,103199,Teen,Action,1.0.7.8,44000000.0,10000000,0.0,2018,8,2,4.2,4,0
TOOLS,0.0,150,Everyone,Tools,Cow V3.11,7300000.0,50000,0.0,2018,6,1,4.1,2,0
COMMUNICATION,1.0,15287,Everyone,Communication,2.2.245,17000000.0,1000000,0.0,2018,1,24,4.0,3,0
MEDICAL,0.0,1838,Everyone,Medical,2.11.0,21000000.0,100000,0.0,2018,7,2,4.0,3,0
FINANCE,1.0,2,Everyone,Finance,3.0.6,2800000.0,100,0.0,2018,3,22,4.1,1,0
NEWS_AND_MAGAZINES,1.0,1,Everyone,News & Magazines,1.0,1000000.0,10,0.0,2015,7,15,2.2,1,0
FAMILY,1.0,1111915,Everyone,Entertainment,2.2.1.3,50000000.0,100000000,0.0,2018,4,30,4.1,4,0
DATING,1.0,4195,Mature 17+,Dating,1.6.1,24000000.0,100000,0.0,2018,7,25,4.4,3,0
GAME,1.0,11235,Everyone,Card,Varies with device,12000000.0,100000,2.99,2018,7,30,4.0,3,1
TOOLS,1.0,6505,Everyone,Tools,6.4.0,2000000.0,50000,2.99,2017,11,3,4.0,3,1
MEDICAL,1.0,9,Everyone,Medical,1.0.3,95000000.0,1000,7.49,2017,9,14,4.1,1,1
MEDICAL,0.0,15,Everyone,Medical,7.6.14,5000000.0,1000,14.99,2018,8,1,4.0,1,1
FAMILY,1.0,10,Everyone,Education;Pretend Play,1.3,30000000.0,1000,2.99,2017,12,18,4.0,1,1
FAMILY,1.0,9199,Everyone,Puzzle;Brain Games,1.2.7,80000000.0,500000,0.0,2018,8,3,4.1,3,0
HOUSE_AND_HOME,0.0,3280,Everyone,House & Home,5.0.1,77000000.0,1000000,0.0,2018,6,29,4.0,3,0
GAME,1.0,104583,Everyone,Arcade,3.45,37000000.0,1000000,0.0,2016,8,18,2.3,4,0
GAME,1.0,10748,Everyone,Arcade,4.0,47000000.0,1000000,0.0,2018,8,4,4.1,3,0
BUSINESS,1.0,0,Teen,Business,v2.7.11.6,11000000.0,50,0.0,2017,9,30,4.1,1,0
MEDICAL,1.0,25,Everyone,Medical,1.0,46000000.0,5000,0.0,2018,4,17,5.0,2,0
FAMILY,0.0,17,Everyone,Entertainment,1.1,32000000.0,1000,0.0,2018,3,7,7.0,1,0
FAMILY,1.0,367,Everyone,Entertainment,1.0.19,5100000.0,100000,0.0,2018,5,17,4.1,2,0
GAME,1.0,0,Everyone,Adventure,1.0.4,11000000.0,10,0.0,2018,6,18,2.3,1,0
TOOLS,1.0,0,Everyone,Tools,0.0.44,12000000.0,50,0.0,2018,7,9,4.0,1,0
GAME,1.0,29,Everyone 10+,Arcade,1.3.3,31000000.0,1000,0.0,2017,10,22,4.2,2,0
SPORTS,0.0,144,Teen,Sports,4.2.5,79000000.0,10000,0.0,2018,5,11,4.3,2,0
FAMILY,1.0,13,Everyone,Entertainment,5.0.45,34000000.0,1000,0.0,2018,3,25,4.1,1,0
BUSINESS,1.0,2,Teen,Business,1.1,14000000.0,1000,0.0,2018,8,5,4.2,1,0
BOOKS_AND_REFERENCE,1.0,0,Everyone,Books & Reference,1.0,29000000.0,10,0.0,2018,4,28,4.1,1,0
PERSONALIZATION,0.0,153176,Everyone,Personalization,1.17,4300000.0,10000000,0.0,2018,8,7,4.0,4,0
TOOLS,1.0,11018,Everyone,Tools,1.7.0,25000000.0,500000,0.0,2018,7,25,4.1,3,0
LIFESTYLE,1.0,7,Everyone,Lifestyle,1.4,3400000.0,1000,0.0,2018,6,9,4.0,1,0
GAME,1.0,154519,Mature 17+,Action,1.4,99000000.0,10000000,0.0,2017,5,9,2.3,4,0
SOCIAL,1.0,903,Teen,Social,1.76,4600000.0,1000000,0.0,2018,8,3,4.0,3,0
SPORTS,1.0,97,Everyone,Sports,1.0,1900000.0,10000,0.0,2017,6,28,4.1,2,0
BUSINESS,0.0,78172,Everyone,Business,Varies with device,12000000.0,10000000,0.0,2018,8,2,4.0,4,0
PERSONALIZATION,1.0,29203,Everyone,Personalization,40.0,3300000.0,5000000,0.0,2017,12,10,4.0,4,0
LIFESTYLE,1.0,5,Everyone,Lifestyle,1.0,4600000.0,1000,0.0,2017,1,14,2.3,1,0
NEWS_AND_MAGAZINES,1.0,158196,Everyone,News & Magazines,Varies with device,12000000.0,10000000,0.0,2018,7,27,4.0,4,0
PHOTOGRAPHY,1.0,46242,Everyone,Photography,2.1.3,5200000.0,1000000,0.0,2016,9,20,4.0,4,0
PERSONALIZATION,1.0,7264,Everyone,Personalization,3.6.46,12000000.0,100000,1.99,2017,11,16,4.0,3,1
GAME,0.0,153,Everyone,Action,1.3,67000000.0,10000,0.0,2016,12,31,4.0,2,0
